SeqID	Organism	Domain	Phylum	Class	Order	Family	Genus	Species
Q0KBZ6	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q7WXF6	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q51871	Paucimonas lemoignei (Pseudomonas lemoignei)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	Paucimonas lemoignei (Pseudomonas lemoignei)
Q0K9H3	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q51718	Pseudomonas fluorescens	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
P52090	Paucimonas lemoignei (Pseudomonas lemoignei)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	Paucimonas lemoignei (Pseudomonas lemoignei)
P26495	Pseudomonas oleovorans	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas oleovorans
A0A448FLD4	Bacillus freudenreichii	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus freudenreichii
G0EZB1	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / CCUG 52238 / LMG 8453 / N-1) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
A0A088U1P1	Burkholderia cenocepacia	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
A0A0D0HJ14	Burkholderia sp. MSHR3999	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. MSHR3999
A0A375H8B9	Cupriavidus neocaledonicus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus neocaledonicus
B1FZY3	Paraburkholderia graminis (strain ATCC 700544 / DSM 17151 / LMG 18924 / NCIMB 13744 / C4D1M)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia graminis
A0A6G8NLB5	Caballeronia sp. SBC1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia sp. SBC1
A0A7T4FSV4	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
A0A375GWL6	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A2N7WT78	Paraburkholderia rhynchosiae	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia rhynchosiae
A0A375IBN5	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A6S7B1W1	Paraburkholderia ultramafica	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia ultramafica
A0A1K0IS07	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
I0L979	Micromonospora lupini str. Lupac 08	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora lupini
A0A1I9YZM5	Nocardia seriolae	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia seriolae
A0A3S4PW28	Bacillus freudenreichii	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus freudenreichii
A0A517STM6	Planctomycetes bacterium SV_7m_r	Bacteria	Planctomycetes					Planctomycetes bacterium SV_7m_r
D5DYP0	Priestia megaterium (strain ATCC 12872 / QMB1551) (Bacillus megaterium)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium (Bacillus megaterium)
D5DA62	Priestia megaterium (strain DSM 319 / IMG 1521) (Bacillus megaterium)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium (Bacillus megaterium)
Q0JZG9	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
B2AJA4	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A2U3MYL7	Acinetobacter stercoris	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter stercoris
A0A2N7QVQ6	Dyella sp. AD56	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella sp. AD56
F8GS41	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / CCUG 52238 / LMG 8453 / N-1) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q63T94	Burkholderia pseudomallei (strain K96243)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei (Pseudomonas pseudomallei)
A0A0F6LDD6	Burkholderia pseudomallei MSHR4000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei (Pseudomonas pseudomallei)
A0A1V2DGL7	Burkholderia pseudomallei (Pseudomonas pseudomallei)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei (Pseudomonas pseudomallei)
A0A375J9Z1	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375D2G4	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
Q3JTG2	Burkholderia pseudomallei (strain 1710b)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei (Pseudomonas pseudomallei)
A0A375EX20	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375FGP5	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375CF67	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375EAT1	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375GJC7	Cupriavidus oxalaticus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus oxalaticus
A0A375FWX8	Cupriavidus oxalaticus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus oxalaticus
L9PFG0	Janthinobacterium sp. HH01	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. HH01
B2AJ22	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A085FN98	Massilia sp. LC238	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. LC238
Q7P039	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
Q7P1P1	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
A0A132HN37	Cupriavidus metallidurans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
A0A375JDI1	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
Q5YEW3	Schlegelella sp. KB1a	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	Schlegelella sp. KB1a
A0A375F6A6	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375ECL0	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A653XPW1	Massilia sp. 9I	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
A0A2S2E3F1	Saliniradius amylolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Saliniradius	Saliniradius amylolyticus
T0F7C6	Leptospira broomii serovar Hurstbridge str. 5399	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira broomii
S3W8X4	Leptospira fainei serovar Hurstbridge str. BUT 6	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira fainei
M6DJ80	Leptospira sp. B5-022	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira sp. B5-022
A0A376DT75	Chryseobacterium carnipullorum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium carnipullorum
V6HEF9	Leptospira inadai serovar Lyme str. 10	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira inadai
S3UM26	Leptospira wolffii serovar Khorat str. Khorat-H2	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira wolffii
A0A5C5YWA2	Planctomycetes bacterium CA13	Bacteria	Planctomycetes					Planctomycetes bacterium CA13
Q0K4D5	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
B3RBU9	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
B3R5C9	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A8B3VI50	Burkholderia multivorans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
F8GUZ9	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / CCUG 52238 / LMG 8453 / N-1) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
A1K1G3	Azoarcus sp. (strain BH72)	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus sp. (strain BH72)
A0A7Z7JAM4	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375CJS3	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375HJS0	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375CCZ4	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375CWL4	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375C6G7	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375EG38	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375BMD2	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A7Z7NLW9	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375J269	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375I9T8	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375F9I4	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375E3Q2	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A518AR37	Aeoliella mucimassa	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Lacipirellulaceae	Aeoliella	Aeoliella mucimassa
B3RCW5	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
Q0JYJ1	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q1LGN3	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
D5DPF6	Priestia megaterium (strain ATCC 12872 / QMB1551) (Bacillus megaterium)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium (Bacillus megaterium)
D5DF21	Priestia megaterium (strain DSM 319 / IMG 1521) (Bacillus megaterium)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium (Bacillus megaterium)
F8GTY3	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / CCUG 52238 / LMG 8453 / N-1) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
A0A375DM67	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A1Q8YE15	Rhodoferax antarcticus ANT.BR	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax antarcticus
A0A375CA78	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375J946	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375D3N9	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375CG86	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375ITL2	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375FBQ5	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375F1S9	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A1Y5PZ21	uncultured Stenotrophomonas sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	uncultured Stenotrophomonas sp.
A0A375CDX2	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A375E551	Cupriavidus taiwanensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
Q0K7T2	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0K2G9	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0KCI0	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
A0A140IHI1	Pseudomonas sp. ND-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. ND-1
A0A399EB04	Calidithermus terrae	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Calidithermus	Calidithermus terrae
Q1LPM3	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
B3R463	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis
A0A0M2WSS7	Janthinobacterium sp. KBS0711	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. KBS0711
A0A2N7RUV9	Janthinobacterium sp. AD80	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. AD80
A0A1E7WGS5	Duganella phyllosphaerae	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella phyllosphaerae
A0A399EZA3	Calidithermus roseus	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Calidithermus	Calidithermus roseus
A0A399F775	Meiothermus granaticius NBRC 107808	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus granaticius
A0A399EZS4	Meiothermus luteus	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus luteus
V9IQU6	Pseudomonas sp. TO7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. TO7
D8IQM4	Herbaspirillum seropedicae (strain SmR1)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum seropedicae
D5APD8	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus (Rhodopseudomonas capsulata)
D8IYJ8	Herbaspirillum seropedicae (strain SmR1)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum seropedicae
Q1LJV2	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
D5DZL2	Priestia megaterium (strain ATCC 12872 / QMB1551) (Bacillus megaterium)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium (Bacillus megaterium)
A0A5C6E3A4	Novipirellula aureliae	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Novipirellula	Novipirellula aureliae
A0A5C6D0T9	Candidatus Brocadiaceae bacterium S225	Bacteria	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae		Candidatus Brocadiaceae bacterium S225
