#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
868132.Metbo_0361    -            310 TIGR01114            TIGR01114    314  4.5e-157  514.1   0.4   1   1    5e-157    5e-157  513.9   0.4     1   313     1   309     1   310 0.99 -
868131.MSWAN_2048    -            314 TIGR01114            TIGR01114    314  1.2e-156  512.7   0.9   1   1  1.4e-156  1.4e-156  512.5   0.9     1   313     1   313     1   314 0.99 -
426368.MmarC7_0814   -            319 TIGR01114            TIGR01114    314  4.8e-156  510.7   1.5   1   1  5.3e-156  5.3e-156  510.5   1.5     1   313     1   318     1   319 0.99 -
644295.Metev_2023    -            312 TIGR01114            TIGR01114    314  8.4e-155  506.6   1.5   1   1  9.3e-155  9.3e-155  506.5   1.5     1   313     1   311     1   312 0.99 -
259564.Mbur_1518     -            318 TIGR01114            TIGR01114    314  8.6e-151  493.4   2.2   1   1  9.6e-151  9.6e-151  493.3   2.2     1   313     1   317     1   318 0.98 -
547558.Mmah_1783     -            318 TIGR01114            TIGR01114    314  7.2e-150  490.4   1.4   1   1    8e-150    8e-150  490.2   1.4     1   313     1   317     1   318 0.98 -
420247.Msm_1007      -            312 TIGR01114            TIGR01114    314  7.4e-150  490.4   4.6   1   1  8.2e-150  8.2e-150  490.2   4.6     1   313     1   311     1   312 0.99 -
339860.Msp_0307      -            310 TIGR01114            TIGR01114    314  1.7e-146  479.3   1.5   1   1  1.9e-146  1.9e-146  479.2   1.5     1   313     1   309     1   310 0.99 -
1110509.Mhar_2097    -            311 TIGR01114            TIGR01114    314  5.7e-144  471.0   1.1   1   1  6.4e-144  6.4e-144  470.9   1.1     1   313     1   310     1   311 0.99 -
420247.Msm_0627      -            313 TIGR01114            TIGR01114    314  1.7e-142  466.2   0.8   1   1  1.9e-142  1.9e-142  466.0   0.8     1   313     1   312     1   313 0.98 -
634498.mru_1916      -            293 TIGR01114            TIGR01114    314  2.1e-142  465.9   0.6   1   1  2.3e-142  2.3e-142  465.7   0.6    18   313     1   292     1   293 0.99 -
349307.Mthe_1378     -            311 TIGR01114            TIGR01114    314  1.8e-141  462.8   1.1   1   1    2e-141    2e-141  462.7   1.1     1   312     1   309     1   311 0.99 -
990316.MCON_1068     -            311 TIGR01114            TIGR01114    314  6.5e-135  441.3   0.6   1   1  7.2e-135  7.2e-135  441.1   0.6     1   311     1   308     1   311 0.99 -
351160.RCIX2071      -            312 TIGR01114            TIGR01114    314  4.9e-133  435.1   0.7   1   1  5.5e-133  5.5e-133  434.9   0.7     1   313     1   311     1   312 0.99 -
269797.Mbar_A2072    -            310 TIGR01114            TIGR01114    314  2.1e-132  433.1   0.1   1   1  2.3e-132  2.3e-132  432.9   0.1     1   313     1   309     1   310 0.98 -
644295.Metev_1386    -            312 TIGR01114            TIGR01114    314  1.2e-131  430.5   0.2   1   1  1.3e-131  1.3e-131  430.4   0.2     1   313     1   311     1   312 0.98 -
192952.MM_0256       -            310 TIGR01114            TIGR01114    314  9.5e-131  427.6   0.1   1   1  1.1e-130  1.1e-130  427.4   0.1     1   313     1   309     1   310 0.98 -
259564.Mbur_2244     -            310 TIGR01114            TIGR01114    314  4.2e-130  425.5   0.3   1   1  4.7e-130  4.7e-130  425.3   0.3     1   313     1   309     1   310 0.98 -
679901.Mzhil_0753    -            310 TIGR01114            TIGR01114    314  1.4e-129  423.7   0.0   1   1  1.6e-129  1.6e-129  423.6   0.0     1   313     1   309     1   310 0.98 -
188937.MA1804        -            310 TIGR01114            TIGR01114    314  1.2e-128  420.7   0.1   1   1  1.3e-128  1.3e-128  420.5   0.1     1   313     1   309     1   310 0.97 -
547558.Mmah_0403     -            310 TIGR01114            TIGR01114    314  2.3e-126  413.2   0.0   1   1  2.6e-126  2.6e-126  413.0   0.0     1   313     1   309     1   310 0.98 -
304371.MCP_0546      -            316 TIGR01114            TIGR01114    314  3.7e-125  409.2   0.5   1   1  4.1e-125  4.1e-125  409.1   0.5     1   313     1   315     1   316 0.98 -
521011.Mpal_2317     -            339 TIGR01114            TIGR01114    314  1.3e-115  377.8   0.1   1   1  2.9e-115  2.9e-115  376.7   0.1     1   313     1   338     1   339 0.98 -
368407.Memar_0605    -            345 TIGR01114            TIGR01114    314  3.9e-113  369.7   0.0   1   1  5.3e-113  5.3e-113  369.3   0.0     1   313     1   344     1   345 0.98 -
679926.Mpet_2407     -            345 TIGR01114            TIGR01114    314  1.1e-111  364.9   0.0   1   1  2.1e-111  2.1e-111  364.0   0.0     1   313     1   344     1   345 0.98 -
456442.Mboo_0566     -            345 TIGR01114            TIGR01114    314  4.4e-110  359.7   0.1   1   1  6.8e-110  6.8e-110  359.1   0.1     1   313     1   344     1   345 0.98 -
323259.Mhun_2175     -            338 TIGR01114            TIGR01114    314  4.5e-107  349.8   0.0   1   1  5.5e-107  5.5e-107  349.5   0.0     4   313     2   337     1   338 0.97 -
990316.MCON_2873     -            307 TIGR01114            TIGR01114    314  4.3e-106  346.6   0.0   1   1  4.8e-106  4.8e-106  346.4   0.0     1   313     1   306     1   307 0.98 -
410358.Mlab_1553     -            339 TIGR01114            TIGR01114    314  1.9e-105  344.5   0.1   1   1  2.2e-105  2.2e-105  344.3   0.1     1   313     1   338     1   339 0.99 -
349307.Mthe_1654     -            302 TIGR01114            TIGR01114    314  1.3e-104  341.7   0.0   1   1  1.5e-104  1.5e-104  341.5   0.0     1   313     1   301     1   302 0.97 -
1110509.Mhar_1473    -            307 TIGR01114            TIGR01114    314  7.3e-104  339.3   0.0   1   1  8.2e-104  8.2e-104  339.1   0.0     1   313     1   306     1   307 0.97 -
224325.AF0009        -            290 TIGR01114            TIGR01114    314   3.3e-83  271.4   2.7   1   1   4.3e-83   4.3e-83  271.0   2.7     1   289     1   274     1   279 0.91 -
679926.Mpet_2555     -            290 TIGR01114            TIGR01114    314   4.3e-81  264.5   0.6   1   1     7e-81     7e-81  263.8   0.6     1   291     1   277     1   286 0.91 -
456442.Mboo_1043     -            290 TIGR01114            TIGR01114    314   4.1e-79  257.9   0.3   1   1   7.5e-79   7.5e-79  257.1   0.3     1   289     1   275     1   284 0.93 -
635013.TherJR_2947   -            306 TIGR01114            TIGR01114    314   1.2e-77  253.1   0.0   1   1   1.4e-77   1.4e-77  252.9   0.0     1   313     1   305     1   306 0.93 -
138119.DSY3157       -            306 TIGR01114            TIGR01114    314   1.3e-75  246.4   0.1   1   1   1.6e-75   1.6e-75  246.2   0.1     1   313     1   305     1   306 0.94 -
768706.Desor_0411    -            306 TIGR01114            TIGR01114    314   1.6e-71  233.0   0.0   1   1   1.9e-71   1.9e-71  232.8   0.0     1   313     1   305     1   306 0.93 -
589924.Ferp_1749     -            316 TIGR01114            TIGR01114    314   1.9e-69  226.2   0.0   1   1   2.2e-69   2.2e-69  226.0   0.0     7   313     5   299     1   300 0.92 -
931626.Awo_c07520    -            306 TIGR01114            TIGR01114    314   6.9e-68  221.1   0.0   1   1   8.3e-68   8.3e-68  220.8   0.0     1   312     1   304     1   306 0.91 -
583356.Igag_0398     -            292 TIGR01114            TIGR01114    314   8.5e-67  217.5   0.0   1   1   1.1e-66   1.1e-66  217.1   0.0     1   286     1   273     1   278 0.93 -
589924.Ferp_0136     -            277 TIGR01114            TIGR01114    314   2.2e-55  180.0   0.1   1   1   2.8e-55   2.8e-55  179.7   0.1    27   289    10   260     3   267 0.93 -
760568.Desku_0058    -            311 TIGR01114            TIGR01114    314   4.1e-49  159.4   0.0   1   1   4.9e-49   4.9e-49  159.1   0.0     1   312     1   301     1   303 0.91 -
555079.Toce_1535     -            298 TIGR01114            TIGR01114    314   2.2e-46  150.4   0.0   1   1     3e-46     3e-46  150.0   0.0     8   311     4   293     2   296 0.92 -
635013.TherJR_0981   -            312 TIGR01114            TIGR01114    314   2.4e-44  143.7   0.0   1   1     3e-44     3e-44  143.4   0.0     1   312     1   301     1   303 0.88 -
635013.TherJR_0145   -            298 TIGR01114            TIGR01114    314   1.9e-43  140.8   0.0   1   1   2.7e-43   2.7e-43  140.3   0.0     9   301     5   283     2   295 0.92 -
717785.HYPMC_2275    -            311 TIGR01114            TIGR01114    314   4.6e-43  139.5   0.0   1   1   6.2e-43   6.2e-43  139.1   0.0     9   308    14   299    10   305 0.91 -
399550.Smar_0413     -            311 TIGR01114            TIGR01114    314   2.2e-39  127.4   0.0   1   1   2.9e-39   2.9e-39  127.1   0.0     7   313     7   299     1   300 0.91 -
591019.Shell_0390    -            311 TIGR01114            TIGR01114    314   1.1e-38  125.2   0.0   1   1   1.4e-38   1.4e-38  124.8   0.0     7   313     7   299     1   300 0.91 -
374847.Kcr_0196      -            282 TIGR01114            TIGR01114    314   1.4e-26   85.4   0.0   1   1     2e-26     2e-26   84.8   0.0    30   313     2   269     1   270 0.84 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /mnt/nfs/sharknado/LimsData/Hallam_Databases/formatted/HMMs/Protein/TIGRFAMs/TIGR01114.HMM
# Target file:     COG1962.txt
# Option settings: /usr/local/bin/hmmsearch --domtblout seed_refpkg/intermediates/TIGR01114.HMM_to_ORFs_domtbl.txt --noali --cpu 2 /mnt/nfs/sharknado/LimsData/Hallam_Databases/formatted/HMMs/Protein/TIGRFAMs/TIGR01114.HMM COG1962.txt 
# Current dir:     /home/cmorganlang/Hallam_projects/RefPkgs/Methanogenesis/MtrH
# Date:            Fri Feb 14 16:28:01 2020
# [ok]
