SeqID	Organism	Domain	Phylum	Class	Order	Family	Genus	Species
B2HHY2	Mycobacterium marinum (strain ATCC BAA-535 / M)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum
A0QAK7	Mycobacterium avium (strain 104)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
A1UM30	Mycobacterium sp. (strain KMS)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. (strain KMS)
A1KPH5	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
A3Q6H9	Mycobacterium sp. (strain JLS)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. (strain JLS)
Q7TWE1	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
Q1B321	Mycobacterium sp. (strain MCS)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. (strain MCS)
P0CL06	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
E1WGG8	Salmonella typhimurium (strain SL1344)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
P0A1Q1	Salmonella typhi	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
Q8XCE7	Escherichia coli O157:H7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
A8AFD4	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri (Citrobacter diversus)
A9MMQ2	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
Q57N70	Salmonella choleraesuis (strain SC-B67)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
A9MU86	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
Q5PMW8	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
A7MEE9	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii (Enterobacter sakazakii)
A7ZN22	Escherichia coli O139:H28 (strain E24377A / ETEC)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
A8A1A0	Escherichia coli O9:H4 (strain HS)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Q0TGU0	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
B1LQW0	Escherichia coli (strain SMS-3-5 / SECEC)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
B1J0J4	Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Q6JTB2	Pseudomonas savastanoi (Pseudomonas syringae pv. savastanoi)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas savastanoi (Pseudomonas syringae pv. savastanoi)
Q32H58	Shigella dysenteriae serotype 1 (strain Sd197)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae
Q2NTK9	Sodalis glossinidius (strain morsitans)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Bruguierivoracaceae	Sodalis (tsetse S-endosymbionts)	Sodalis glossinidius
A4WBR1	Enterobacter sp. (strain 638)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. (strain 638)
Q8FGN6	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Q1RAP1	Escherichia coli (strain UTI89 / UPEC)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Q3Z2S4	Shigella sonnei (strain Ss046)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
P55612	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Rhizobium fredii (Sinorhizobium fredii)
A1AC53	Escherichia coli O1:K1 / APEC	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
B1X658	Escherichia coli (strain K12 / DH10B)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
A6TB47	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
