Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
TIGRFAM_seed_named_formatted	TIGR04244_gi|88800424|ref|ZP_01115989.1|/18-630	NosZ	40	613	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Reinekea; s__Reinekea blandensis	1.0	1672	1.9e-258	1.0	0.0253	0.0006,0.0247,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|84684512|ref|ZP_01012413.1|/7-627	NosZ	37	621	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Maritimibacter; s__Maritimibacter alkaliphilus	1.0	2119	1.9e-255	1.0	0.0231	0.0001,0.0231,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|209967151|ref|YP_002300066./10-638	NosZ	45	629	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Rhodospirillum; s__Rhodospirillum centenum	1.0	2240	1.6e-258	1.0	0.0244	0.0001,0.0243,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|71907203|ref|YP_284790.1|/44-641	NosZ	1	598	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Azonexaceae; g__Dechloromonas; s__Dechloromonas aromatica	1.0	21	3.4e-248	1.0	0.0151	0.0001,0.0151,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|269836766|ref|YP_003318994./71-671	NosZ	1	601	r__Root; d__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__Sphaerobacterales; f__Sphaerobacteraceae; g__Sphaerobacter; s__Sphaerobacter thermophilus	1.0	228	1.1e-241	1.0	0.0381	0.0062,0.0318,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|120435766|ref|YP_861452.1|/39-640	NosZ	1	602	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Gramella; s__Gramella forsetii	1.0	739	4e-259	1.0	0.014	0.0001,0.0139,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|89893007|ref|YP_516494.1|/58-629	NosZ	1	572	r__Root; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Desulfitobacterium; s__Desulfitobacterium hafniense	1.0	1113	4e-243	1.0	0.0017	0.0001,0.0017,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|121593552|ref|YP_985448.1|/14-645	NosZ	50	632	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__Acidovorax sp. JS42	1.0	1177	3.5e-229	1.0	0.0385	0.0001,0.0385,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|56479025|ref|YP_160614.1|/16-652	NosZ	55	637	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Aromatoleum; s__Aromatoleum aromaticum	1.0	1252	1.4e-230	1.0	0.0389	0.0026,0.0363,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|294679128|ref|YP_003579738./8-645	NosZ	47	638	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Rhodobacter capsulatus	1.0	1842	4.3e-245	1.0	0.0492	0.0001,0.0492,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|163858659|ref|YP_001632957./10-631	NosZ	37	622	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Bordetella; s__Bordetella petrii	1.0	2208	3.4e-263	1.0	0.0158	0.0022,0.0135,0.0
